
Objective = 0.0895186

#Fluxes	Value	Minimum	Maximum
2.3.1.47	0	0	0
6.3.3.3	0	0	0
2.8.1.6	0	0	0
6.3.4.15	0	0	0
RXN-7101	0	0	0
2.1.1.142	0	0	0
_3.5.2.6	0	0	0
_3.5.1.11	0	0	0
_2.5.1.31a	0	-1000	0.00385535
_2.5.1.31b	0	0	0
1.4.3.5a	0	0	0
1.4.3.5b	0	0	0
1.4.3.5c	0	0	0
1.4.3.5d	0	0	0
2.6.99.2	0	0	0
_1.1.1.262	0	0	0
RXN-8447	0	0	0
4.2.3.1b	0	0	0
_VitB6	0	0	0
1.1.5.3	0	0	0
_2.3.1.15	0	0	0
_2.3.1.51	0	0	0
2.7.7.41	0	0	0
_2.7.1.107	0	0	0
2.7.8.5	0	0	0
3.1.3.25	0	0	0
_2.7.1.30	0	0	0
_1.1.1.6	0	0	0
_1.1.9.4	0	0	0
_2.4.1.157	0	0	0
3.1.4.-	0	0	0
4.-.-.-	0	0	0
6.3.4.-	0	0	0
4.2.-.-	0	0	0
_2.4.1.129	0	0	0
_3.4.15.6	0	0	0
_1.13.11.43	0	0	0
_1.1.1.31	0	0	0
_3.1.1.45	0	0	0
_2.3.1.183	0	0	0
_2.3.1.128	0	0	0
_1.20.4.1	0	0	0
_6.2.1.3	0	0	0
_2.7.13.3	0	0	0
_1.1.1.219	0	0	0
_2.5.1.75	0	0	0
_2.4.1.83	0	0	0
_2.5.1.72	0	0	0
_1.16.1.1	0	0	0
_1.14.19.3	0	0	0
_3.1.1.29	0	0	0
_2.6.1.17	0	0	0
_3.1.3.48	0	0	0
_3.5.5.7	0	0	0
_1.1.1.284a	0	0	0
_1.1.1.284b	0	0	0
_3.1.2.12	0	0	0
_2.1.1.72	0	0	0
_2.1.1.61	0	0	0
_2.1.1.31	0	0	0
_2.1.1.33	0	0	0
_3.1.1.3	0	0	0
_5.4.99.12	0	0	0
_2.4.1.182	0	0	0
_2.4.1.80	0	0	0
_3.1.3.71	0	0	0
_6.3.4.18	0	0	0
·1.1.1.35	0	-1000	1000
·1.1.1.157	0	-1000	1000
·4.2.1.17	0	0	0
·1.3.99.2	-6.65309	-1000	1000
·1.3.1.44	6.65309	-1000	1000
·1.2.1.57a	0	0	0
·1.2.1.57b	0	0	0
·1.2.1.10	0	0	0
·1.1.1.-a	0	0	0
·1.1.1.-b	0	0	0
·sll0208	0	0	0
·2.7.7.9	0	0	0
·2.7.7.44	0	0	0
·2.7.1.43	0	0	0
·2.4.1.17	0	0	0
·3.2.1.31	0	0	0
·EPS_sample	0	0	0
Alabm	0.0446831	0	0.0446831
Aspbm	0.0209681	0	0.0209681
Argbm	0.0257294	0	0.0257294
Asnbm	0.0209681	0	0.0209681
Lysbm	0.0298498	0	0.0298498
Thrbm	0.0220669	0	0.0220669
Serbm	0.0187706	0	0.0187706
Cysbm	0.00796608	0	0.00796608
Glybm	0.0532902	0	0.0532902
Glubm	0.022891	0	0.022891
Glnbm	0.022891	0	0.022891
Probm	0.0192284	0	0.0192284
Trpbm	0.00494447	0	0.00494447
Phebm	0.0161152	0	0.0161152
Tyrbm	0.0119949	0	0.0119949
Hisbm	0.00824073	0	0.00824072
Valbm	0.0368086	0	0.0368086
Ilebm	0.0252716	0	0.0252716
Leubm	0.0391893	0	0.0391893
Metbm	0.0133684	0	0.0133684
dATP	0.00216193	0	0.00216193
dGTP	0.00194522	0	0.00194522
dTTP	0.00216193	0	0.00216193
dUTP	0	0	0
dCTP	0.00194522	0	0.00194522
AMP	0.0125675	0	0.0125675
UMP	0.0125675	0	0.0125675
CMP	0.0110776	0	0.0110776
GMP	0.0110776	0	0.0110776
8C-lipidbm	0	0	0
10C-lipidbm	0	0	0
12C-lipidbm	0	0	0
14C-lipidbm	0	0	0
16C-lipidbm	0.0185158	0	0.0185158
18C-lipidbm	0.000314905	0	0.000314905
(9Z)16C-lipidbm	0.0014085	0	0.0014085
(9Z)18C-lipidbm	0.00285439	0	0.00285439
(9Z,12Z)18C-lipidbm	0.00319435	0	0.00319435
(9Z,12Z,15Z)18C-lipidbm	0.00160875	0	0.00160875
(6Z,9Z)18C-lipidbm	0	0	0
(6Z,9Z,12Z)18C-lipidbm	0.00450449	0	0.00450449
(6Z,9Z,12Z,15Z)18C-lipidbm	0.00129639	0	0.00129639
hemebm	0	0	0
PhCybibm	0	0	0
Bilibm	0	0	0
BacChlabm	0	0	0
BacChlsbm	0	0	0
BacPheobm	0	0	0
Chlabm	0.00244223	0	0.00244223
Chlbbm	0	0	0
Pheobm	0	0	0
CobIIbm	0	0	0
B12bm	0	0	0
Carotenebm	0.000734254	0	0.000734254
PepGlycbm	0	0	0
Glycbm	0.00129857	0	0.00129857
Squalbm	0	0	0
aTphbm	0	0	0
PLipLysbm	0	0	0
Cxntbm	0	0	0
3hxcbm	0	0	0
Adnxbm	0	0	0
Astxbm	0	0	0
ATPbm	0	0	0
ADPbm	0	0	0
Biomass	0.0895186	0	0.0895186
_Growth	0.0895186	0	0.0895186
TRANS-RXN59G-152	0	0	0
CO2out	0	0	3.4
_lightII	0.8	0	0.8
_lightI	0.8	0	0.8
4.1.1.39	3.78359	0	710.836
CO2in	1.7	0	1.7
4.2.1.1b	-1.45034	-10	10
_H2CO3transport	1.7	0	1.7
_H2CO3desprot	1.7	-10	10.3778
NADHmain	0.5	0.5	1000
NADPHmain	0.5	0.5	1000
Phosphate TRANS-RXN59G-90	0.0758239	0	458.057
_3.6.3.27	0	0	356.267
_Phosphate_out	0	0	100
H2O	-20.4485	-500	21.28
PROTONS	-20.1702	-1000	1000
urea TRANS-RXN59G-410	0	0	0
sulfate TRANS-RXN59G-407	0.0159322	0	0.0159322
nitrate TRANS-RXN59G-237	0	0	108.6
ammonia TRANS-RXN59G-0	0	0	0
ammonia TRANS-RXN59G-178	0	0	0
_ammonia	0	0	0
iron TRANS-RXN59G-711	0	0	0
magnesium TRANS-RXN59G-340	0	0	1303.2
magnesium TRANS-RXN59G-53	0.00244223	-1303.2	0.00244223
zinc TRANS-RXN59G-813	0	0	1303.2
zinc TRANS-RXN59G-228	0	-1303.2	1303.2
cobalt TRANS-RXN59G-71	0	0	0
_COtransp	0	0	0
_H2O2transp	-0.0314598	-1000	521.28
_O2in	4.50506	0	1000
_O2out	0	0	1000
potassium 3.6.3.12	0	0	0
potassium TRANS-RXN59G-35	0	0	0
chloride TRANS-RXN59G-171	0	0	0
sodium TRANS-RXN59G-47	0	0	0
calcium TRANS-RXN59G-708	0	0	0
manganese _Mn transport	0	0	0
_3.6.3.16	0	0	0
_3.6.3.3	0	0	0
_3.6.3.4	0	0	0
_3.6.3.30	0	0	0
_3.6.3.34	0	0	0
_3.6.3.25	0	0	0
_3.6.3.5	0	0	1303.2
_H2	1.36149e-014	0	1000
_an [acyl-carrier protein]	0.0673951	0	0.0673951
_a protein	0	0	0
_a protein disulfide R1Protein2R2R3S2	0	0	0
_a protein dithiol H2R1Protein2R2R3S2	0.00587403	0	0.0154214
_3.1.3.16	0	0	1303.2
_2.7.11.1	0	0	1303.2
_RNAout	0	0	0.377778
_DNAout	0	0	0.377778
_glycout	0	0	0.0472222
_PPPi	0	0	1303.2
_glycolaldehyde	0	0	0
_eth	0	0	1.7
