Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
L-arginine C6H14N4O2	4	6	0.133653	-2.16759	0.984905	3	0.153236	-1.25922	0.896025	NC	NC	NC	NC	3	0.114069	-1.9568	0.974814	3	0.157851	-1.34214	0.910224	1	0.144763	-0.894676	0.81452	NC	NC	NC	NC	2	0.164396	-1.08363	0.860735	3	-0.109454	-1.76916	0.961567	2	-0.157472	-0.837959	0.798973	NC	NC	NC	NC	1	-0.013417	-2.01849	0.97823
L-asparagine C4H8N2O3	2	1	0.207751	-0.478742	0.683939	1	0.207751	-0.478742	0.683939	NC	NC	NC	NC	NC	NC	NC	NC	1	0.207751	-0.583151	0.720104	1	0.207751	-0.583151	0.720104	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-aspartyl-4-phosphate C4H8NO7P	2	1	0.514815	0.605589	0.272394	NC	NC	NC	NC	NC	NC	NC	NC	1	0.514815	0.605589	0.272394	1	0.514815	0.49981	0.308604	NC	NC	NC	NC	NC	NC	NC	NC	1	0.514815	0.49981	0.308604	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-aspartate-semialdehyde C4H7NO3	3	3	0.343018	-0.047106	0.518786	NC	NC	NC	NC	1	0.24289	-0.329461	0.629096	2	0.393083	0.162722	0.435369	2	0.393083	0.0210097	0.491619	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	2	0.393083	0.0210097	0.491619	1	-0.24289	-0.186113	0.573822	NC	NC	NC	NC	1	-0.24289	-0.186113	0.573822	0	-10000	0	0.5
homoserine C4H9NO3	2	1	0.558938	0.747126	0.227494	1	0.558938	0.747126	0.227494	NC	NC	NC	NC	NC	NC	NC	NC	1	0.558938	0.641168	0.260707	1	0.558938	0.641168	0.260707	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
O-phospho-L-homoserine C4H10NO6P	2	1	0.431036	0.337013	0.368054	NC	NC	NC	NC	NC	NC	NC	NC	1	0.431036	0.337013	0.368054	1	0.431036	0.231573	0.408435	NC	NC	NC	NC	NC	NC	NC	NC	1	0.431036	0.231573	0.408435	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-threonine C4H9NO3	2	1	0.251874	-0.293247	0.615333	NC	NC	NC	NC	NC	NC	NC	NC	1	0.251874	-0.293247	0.615333	1	0.251874	-0.397891	0.654645	NC	NC	NC	NC	NC	NC	NC	NC	1	0.251874	-0.397891	0.654645	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L,L-diaminopimelate C7H14N2O4	2	1	0.0536861	-1.49235	0.932197	1	0.0536861	-1.49235	0.932197	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0536861	-1.59548	0.944698	1	0.0536861	-1.59548	0.944698	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
meso-diaminopimelate C7H14N2O4	2	1	0.526047	0.641493	0.260601	NC	NC	NC	NC	NC	NC	NC	NC	1	0.526047	0.641493	0.260601	1	0.526047	0.535669	0.296094	NC	NC	NC	NC	NC	NC	NC	NC	1	0.526047	0.535669	0.296094	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-lysine C6H14N2O2	2	1	0.446284	0.386276	0.349646	NC	NC	NC	NC	NC	NC	NC	NC	1	0.446284	0.386276	0.349646	1	0.446284	0.280774	0.389442	NC	NC	NC	NC	NC	NC	NC	NC	1	0.446284	0.280774	0.389442	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
agmatine C5H14N4	4	6	0.377403	-0.179082	0.571063	1	0.0105065	-2.38086	0.991364	1	0.144763	-0.790661	0.785429	4	0.527287	1.21517	0.112151	2	0.31177	-0.344454	0.634747	0	-10000	-1.#IND	1.#QNAN	1	0.144763	-0.894676	0.81452	1	0.478778	0.384867	0.350168	4	-0.41022	0.148316	0.441047	1	-0.0105065	-2.13183	0.983489	0	-10000	-1.#IND	1.#QNAN	3	-0.543457	1.33514	0.0909159
urea CH4N2O	6	15	0.326651	-1.04849	0.852794	3	0.372124	-0.663259	0.746418	3	0.389779	-0.283697	0.611679	9	0.290451	-0.895577	0.814761	7	0.234615	-1.61545	0.946894	0	-10000	-1.#IND	1.#QNAN	1	0.28512	-0.269541	0.606243	6	0.226198	-1.66481	0.952025	8	-0.407183	0.0886126	0.464695	3	-0.372124	-0.433888	0.667815	2	-0.442108	-0.063983	0.525508	3	-0.418958	0.637439	0.26192
putrescine C4H12N2	2	1	0.0105065	-2.38086	0.991364	NC	NC	NC	NC	1	0.0105065	-2.38086	0.991364	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0105065	-2.13183	0.983489	NC	NC	NC	NC	1	-0.0105065	-2.13183	0.983489	NC	NC	NC	NC
2-oxobutanoate C4H6O3	3	3	0.324517	-0.0947902	0.537759	1	0.399146	0.232804	0.407957	NC	NC	NC	NC	2	0.287203	-0.276306	0.608843	1	0.406185	0.150633	0.440132	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.406185	0.150633	0.440132	2	-0.283683	-0.107733	0.542896	1	-0.399146	0.347186	0.364226	NC	NC	NC	NC	1	-0.168221	-0.50524	0.693305
L-serine C3H7NO3	4	6	0.34979	0.0932276	0.462861	6	0.34979	0.0932276	0.462861	NC	NC	NC	NC	NC	NC	NC	NC	4	0.379298	0.0571657	0.477207	4	0.379298	0.0571657	0.477207	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.290774	-0.0135729	0.505415	2	-0.290774	-0.0135729	0.505415	NC	NC	NC	NC	NC	NC	NC	NC
O-acetyl-L-serine C5H9NO4	2	1	0.169005	-0.661955	0.746	1	0.169005	-0.661955	0.746	NC	NC	NC	NC	NC	NC	NC	NC	1	0.169005	-0.766133	0.778201	1	0.169005	-0.766133	0.778201	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
hydrogen sulfide H2s	3	3	0.250085	-0.542087	0.706121	1	0.169005	-0.661955	0.746	NC	NC	NC	NC	2	0.290626	-0.23665	0.593536	3	0.250085	-0.712742	0.761997	1	0.169005	-0.766133	0.778201	NC	NC	NC	NC	2	0.290626	-0.378836	0.647595	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-cysteine C3H7NO2s	4	6	0.495376	1.39528	0.0814656	1	0.961676	2.81316	0.00245289	1	0.169005	-0.661955	0.746	4	0.460393	0.780244	0.217624	6	0.495376	1.17369	0.12026	1	0.961676	2.70459	0.00341944	1	0.169005	-0.766133	0.778201	4	0.460393	0.591329	0.27715	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
acetate C2H3O2	6	15	0.363071	-0.108237	0.543096	1	0.278409	-0.19005	0.575365	6	0.369385	0.130415	0.448119	8	0.368919	-0.207325	0.582122	8	0.33285	-0.761969	0.776961	1	0.278409	-0.294824	0.615936	2	0.163039	-1.07692	0.859242	5	0.411663	-0.234055	0.592529	7	-0.39761	0.666009	0.252703	0	-10000	-1.#IND	1.#QNAN	4	-0.472558	1.00482	0.157493	3	-0.297678	-0.11404	0.545397
tetrahydrofolate C19H24N7O6	8	28	0.470255	1.57808	0.0572735	1	0.142834	-0.801501	0.788579	15	0.60429	2.93166	0.00168579	12	0.329995	-0.57777	0.71829	18	0.522336	1.63755	0.0507578	1	0.142834	-0.905502	0.8174	10	0.685359	3.12109	0.0009009	7	0.343661	-0.723707	0.765377	10	-0.376508	0.410305	0.340791	0	-10000	-1.#IND	1.#QNAN	5	-0.442152	0.70646	0.239951	5	-0.310864	-0.104506	0.541616
5,10-methylene-THF C20H24N7O6	4	6	0.361401	0.13416	0.446638	1	0.274516	-0.204869	0.581163	1	0.142834	-0.801501	0.788579	4	0.437764	0.626154	0.265607	2	0.311557	-0.348528	0.636278	0	-10000	-1.#IND	1.#QNAN	1	0.142834	-0.905502	0.8174	1	0.48028	0.389662	0.348393	4	-0.386323	0.533721	0.296767	1	-0.274516	-0.0679399	0.527083	0	-10000	-1.#IND	1.#QNAN	3	-0.423592	0.662757	0.253743
glycine C2H5NO2	5	10	0.494452	1.12456	0.130389	6	0.36337	-0.413435	0.660356	NC	NC	NC	NC	4	0.691075	2.4152	0.00786324	5	0.558823	1.40574	0.0799013	2	0.455976	0.381435	0.35144	NC	NC	NC	NC	3	0.627388	1.57343	0.0578098	5	-0.430081	0.316562	0.375788	4	-0.317068	-0.612071	0.729755	NC	NC	NC	NC	1	-0.882133	2.08822	0.0183888
tRNAgly	2	1	0.451773	0.403943	0.343127	1	0.451773	0.403943	0.343127	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.451773	0.509508	0.305198	1	-0.451773	0.509508	0.305198	NC	NC	NC	NC	NC	NC	NC	NC
glycyl-tRNAgly	2	1	0.451773	0.403943	0.343127	NC	NC	NC	NC	1	0.451773	0.403943	0.343127	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.451773	0.509508	0.305198	NC	NC	NC	NC	1	-0.451773	0.509508	0.305198	NC	NC	NC	NC
L-glutamate-5-phosphate C5H10NO7P	3	3	0.276664	-1.06708	0.857032	NC	NC	NC	NC	3	0.276664	-1.06708	0.857032	NC	NC	NC	NC	1	0.724211	1.2099	0.113159	NC	NC	NC	NC	1	0.724211	1.2099	0.113159	NC	NC	NC	NC	2	-0.0528907	-1.96815	0.975475	NC	NC	NC	NC	2	-0.0528907	-1.96815	0.975475	NC	NC	NC	NC
L-glutamate gamma-semialdehyde C5H9NO3	2	1	0.724211	1.31658	0.0939903	1	0.724211	1.31658	0.0939903	NC	NC	NC	NC	NC	NC	NC	NC	1	0.724211	1.2099	0.113159	1	0.724211	1.2099	0.113159	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-glutamine C5H10N2O3	12	66	0.34455	-0.695366	0.756587	45	0.359142	-0.141109	0.556108	1	0.272702	-0.21181	0.583872	20	0.315309	-1.10959	0.866412	38	0.333977	-1.3178	0.906215	25	0.34216	-0.890561	0.813418	1	0.272702	-0.316556	0.62421	12	0.322035	-1.1029	0.864964	28	-0.358899	0.377753	0.352807	20	-0.38037	0.78033	0.217598	0	-10000	-1.#IND	1.#QNAN	8	-0.30522	-0.53997	0.705391
D-glutamate C5H9NO4	2	1	0.943989	2.58224	0.00490806	NC	NC	NC	NC	1	0.943989	2.58224	0.00490806	NC	NC	NC	NC	1	0.943989	2.47396	0.00668115	NC	NC	NC	NC	1	0.943989	2.47396	0.00668115	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
chorismate C10H10O6	4	6	0.438139	0.478825	0.316031	3	0.32486	-0.464283	0.678777	NC	NC	NC	NC	3	0.551418	1.17471	0.120056	4	0.419155	-0.0249034	0.509934	3	0.32486	-0.634733	0.737199	NC	NC	NC	NC	1	0.702037	1.12706	0.129859	2	-0.476109	0.794024	0.213591	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	2	-0.476109	0.794024	0.213591
anthranilate C7H7NO2	3	3	0.262681	-0.468481	0.68028	NC	NC	NC	NC	3	0.262681	-0.468481	0.68028	NC	NC	NC	NC	2	0.211628	-0.81233	0.791699	NC	NC	NC	NC	2	0.211628	-0.81233	0.791699	NC	NC	NC	NC	1	-0.364786	0.238303	0.405823	NC	NC	NC	NC	1	-0.364786	0.238303	0.405823	NC	NC	NC	NC
N-(5'-phosphoribosyl)-anthranilate C12H16NO9P	2	1	0.592607	0.85663	0.195825	1	0.592607	0.85663	0.195825	NC	NC	NC	NC	NC	NC	NC	NC	1	0.592607	0.750534	0.226467	1	0.592607	0.750534	0.226467	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
5-phosphoribosyl 1-pyrophosphate C5H13O14P3	9	36	0.40274	0.525207	0.29972	1	0.194546	-0.538621	0.704926	21	0.414629	0.550963	0.290829	14	0.399779	0.325017	0.372584	19	0.428665	0.548477	0.291682	0	-10000	-1.#IND	1.#QNAN	10	0.419403	0.352497	0.362233	9	0.438956	0.462841	0.321739	17	-0.373766	0.277366	0.390749	1	-0.194546	-0.384498	0.649695	11	-0.410288	0.562365	0.286934	5	-0.32926	-0.166103	0.565962
1-(o-carboxyphenylamino)-1'-deoxyribulose-5'-phosphate C12H16NO9P	2	1	0.0573126	-1.45112	0.926627	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0573126	-1.45112	0.926627	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0573126	-1.24999	0.894348	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0573126	-1.24999	0.894348
indole-3-glycerol-phosphate C11H14NO6P	2	1	0.643936	1.02824	0.151919	NC	NC	NC	NC	NC	NC	NC	NC	1	0.643936	1.02824	0.151919	1	0.643936	0.921927	0.178283	NC	NC	NC	NC	NC	NC	NC	NC	1	0.643936	0.921927	0.178283	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-tryptophan C11H12N2O2	2	1	0.129897	-0.876901	0.80973	NC	NC	NC	NC	NC	NC	NC	NC	1	0.129897	-0.876901	0.80973	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.129897	-0.705351	0.759704	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.129897	-0.705351	0.759704
tRNAGlu	2	1	0.324914	-0.0199305	0.507951	1	0.324914	-0.0199305	0.507951	NC	NC	NC	NC	NC	NC	NC	NC	1	0.324914	-0.124919	0.549706	1	0.324914	-0.124919	0.549706	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-glutamyl-tRNAGlu	2	1	0.324914	-0.0199305	0.507951	NC	NC	NC	NC	1	0.324914	-0.0199305	0.507951	NC	NC	NC	NC	1	0.324914	-0.124919	0.549706	NC	NC	NC	NC	1	0.324914	-0.124919	0.549706	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
trans-4-Hydroxy-L-proline	2	1	0.062888	-1.39156	0.917972	NC	NC	NC	NC	NC	NC	NC	NC	1	0.062888	-1.39156	0.917972	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.062888	-1.19349	0.883662	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.062888	-1.19349	0.883662
L-1 pyrroline-3-hydroxy-5-carboxylate	2	1	0.062888	-1.39156	0.917972	1	0.062888	-1.39156	0.917972	NC	NC	NC	NC	1	0.062888	-1.39156	0.917972	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.062888	-1.19349	0.883662	1	-0.062888	-1.19349	0.883662	NC	NC	NC	NC	1	-0.062888	-1.19349	0.883662
L-erythro-4-hydroxy-glutamate	2	1	0.0531192	-1.499	0.933063	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0531192	-1.499	0.933063	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0531192	-1.2954	0.902409	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0531192	-1.2954	0.902409
3-deoxy-D-arabino-heptulosonate-7-phosphate C7H13O10P	2	1	0.399145	0.232801	0.407958	NC	NC	NC	NC	NC	NC	NC	NC	1	0.399145	0.232801	0.407958	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.399145	0.347183	0.364227	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.399145	0.347183	0.364227
3-dehydroquinate C7H10O6	2	1	0.411914	0.274748	0.391755	NC	NC	NC	NC	NC	NC	NC	NC	1	0.411914	0.274748	0.391755	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.411914	0.386969	0.34939	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.411914	0.386969	0.34939
3-dehydro-shikimate C7H8O5	2	1	0.435277	0.350743	0.362891	NC	NC	NC	NC	1	0.435277	0.350743	0.362891	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.435277	0.459049	0.3231	NC	NC	NC	NC	1	-0.435277	0.459049	0.3231	NC	NC	NC	NC
5-enolpyruvyl-shikimate-3-phosphate C10H13O10P	2	1	0.334833	0.0149601	0.494032	NC	NC	NC	NC	NC	NC	NC	NC	1	0.334833	0.0149601	0.494032	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.334833	0.140565	0.444107	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.334833	0.140565	0.444107
L-phenylalanine C9H11NO2	3	3	0.387674	-0.0552686	0.522038	1	0.615137	0.931105	0.1759	NC	NC	NC	NC	2	0.273943	-0.697179	0.757154	1	0.502976	0.462052	0.322022	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.502976	0.462052	0.322022	2	-0.330023	-0.261572	0.603174	1	-0.615137	1.00951	0.156364	NC	NC	NC	NC	1	-0.0449101	-1.39326	0.91823
tRNAphe	2	1	0.615137	0.931105	0.1759	1	0.615137	0.931105	0.1759	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.615137	1.00951	0.156364	1	-0.615137	1.00951	0.156364	NC	NC	NC	NC	NC	NC	NC	NC
L-phenylalanyl-tRNAphe	2	1	0.615137	0.931105	0.1759	NC	NC	NC	NC	1	0.615137	0.931105	0.1759	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.615137	1.00951	0.156364	NC	NC	NC	NC	1	-0.615137	1.00951	0.156364	NC	NC	NC	NC
4-hydroxyphenylpyruvate C9H8O4	2	1	0.828888	1.76792	0.0385374	NC	NC	NC	NC	NC	NC	NC	NC	1	0.828888	1.76792	0.0385374	1	0.828888	1.66067	0.0483899	NC	NC	NC	NC	NC	NC	NC	NC	1	0.828888	1.66067	0.0483899	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-tyrosine C9H11NO3	3	3	0.788197	2.5338	0.00564166	1	0.769765	1.49829	0.067029	NC	NC	NC	NC	2	0.797413	2.1817	0.0145659	1	0.769765	1.39138	0.0820546	1	0.769765	1.39138	0.0820546	NC	NC	NC	NC	0	-10000	0	0.5	2	-0.797413	2.26499	0.0117567	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	2	-0.797413	2.26499	0.0117567
tRNAtyr	2	1	0.769765	1.49829	0.067029	1	0.769765	1.49829	0.067029	NC	NC	NC	NC	NC	NC	NC	NC	1	0.769765	1.39138	0.0820546	1	0.769765	1.39138	0.0820546	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-tyrosyl-tRNAtyr	2	1	0.769765	1.49829	0.067029	NC	NC	NC	NC	1	0.769765	1.49829	0.067029	NC	NC	NC	NC	1	0.769765	1.39138	0.0820546	NC	NC	NC	NC	1	0.769765	1.39138	0.0820546	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
phosphoribosyl-ATP C15H25N5O20P4	2	1	0.710363	1.26442	0.10304	1	0.710363	1.26442	0.10304	NC	NC	NC	NC	NC	NC	NC	NC	1	0.710363	1.15781	0.123471	1	0.710363	1.15781	0.123471	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
phosphoribosylformiminoAICAR-phosphate C15H25N5O15P2	2	1	0.746159	1.40198	0.0804611	NC	NC	NC	NC	NC	NC	NC	NC	1	0.746159	1.40198	0.0804611	1	0.746159	1.29519	0.0976271	NC	NC	NC	NC	NC	NC	NC	NC	1	0.746159	1.29519	0.0976271	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
aminoimidazole carboxamide ribonucleotide C9H15N4O8P	2	1	0.259851	-0.261662	0.603209	NC	NC	NC	NC	NC	NC	NC	NC	1	0.259851	-0.261662	0.603209	1	0.259851	-0.366346	0.642946	NC	NC	NC	NC	NC	NC	NC	NC	1	0.259851	-0.366346	0.642946	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
imidazole acetol-phosphate C6H9N2O5P	2	1	0.0935577	-1.12179	0.869025	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0935577	-1.12179	0.869025	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0935577	-0.937627	0.825782	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0935577	-0.937627	0.825782
L-histidine C6H8N3O2	2	1	0.559836	0.750026	0.22662	NC	NC	NC	NC	NC	NC	NC	NC	1	0.559836	0.750026	0.22662	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.559836	0.837762	0.201082	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.559836	0.837762	0.201082
2-acetolactate C5H8O4	3	3	0.273113	-0.376855	0.646859	NC	NC	NC	NC	3	0.273113	-0.376855	0.646859	2	0.210097	-0.631591	0.736173	2	0.210097	-0.774246	0.780607	NC	NC	NC	NC	2	0.210097	-0.774246	0.780607	2	0.210097	-0.774246	0.780607	1	-0.399146	0.347186	0.364226	NC	NC	NC	NC	1	-0.399146	0.347186	0.364226	0	-10000	0	0.5
2,3-dihydroxy-isovalerate C5H10O4	2	1	0.254012	-0.284733	0.612076	1	0.254012	-0.284733	0.612076	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.254012	-0.143689	0.557127	1	-0.254012	-0.143689	0.557127	NC	NC	NC	NC	NC	NC	NC	NC
2-keto-isovalerate C5H8O3	5	10	0.316046	-0.628358	0.735115	6	0.43127	0.685954	0.246371	NC	NC	NC	NC	4	0.14321	-1.92256	0.972732	8	0.349738	-0.564093	0.713655	5	0.46414	0.647132	0.258773	NC	NC	NC	NC	3	0.159069	-1.84636	0.96758	2	-0.181278	-0.694155	0.756207	1	-0.266923	-0.0956434	0.538098	NC	NC	NC	NC	1	-0.0956335	-0.922744	0.82193
L-valine C5H11NO2	2	1	0.573589	0.794558	0.213435	NC	NC	NC	NC	NC	NC	NC	NC	1	0.573589	0.794558	0.213435	1	0.573589	0.68854	0.245556	NC	NC	NC	NC	NC	NC	NC	NC	1	0.573589	0.68854	0.245556	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
2-aceto-2-hydroxy-butyrate C6H10O4	3	3	0.273113	-0.376855	0.646859	NC	NC	NC	NC	1	0.399146	0.232804	0.407957	2	0.210097	-0.631591	0.736173	2	0.210097	-0.774246	0.780607	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	2	0.210097	-0.774246	0.780607	1	-0.399146	0.347186	0.364226	NC	NC	NC	NC	1	-0.399146	0.347186	0.364226	0	-10000	0	0.5
2,3-dihydroxy-3-methylvalerate C6H12O4	2	1	0.254012	-0.284733	0.612076	NC	NC	NC	NC	NC	NC	NC	NC	1	0.254012	-0.284733	0.612076	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.254012	-0.143689	0.557127	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.254012	-0.143689	0.557127
2-keto-3-methyl-valerate C6H10O3	2	1	0.0956335	-1.1061	0.865659	NC	NC	NC	NC	1	0.0956335	-1.1061	0.865659	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0956335	-0.922744	0.82193	NC	NC	NC	NC	1	-0.0956335	-0.922744	0.82193	NC	NC	NC	NC
L-isoleucine C6H13NO2	2	1	0.547979	0.711824	0.238287	1	0.547979	0.711824	0.238287	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.547979	0.801528	0.211413	1	-0.547979	0.801528	0.211413	NC	NC	NC	NC	NC	NC	NC	NC
2-isopropylmalate C7H12O5	3	3	0.294864	-0.614129	0.730435	NC	NC	NC	NC	1	0.318554	-0.0425304	0.516962	2	0.283019	-0.744884	0.771829	3	0.294864	-0.784973	0.783765	NC	NC	NC	NC	1	0.318554	-0.147491	0.558628	2	0.283019	-0.887674	0.812642	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
3-isopropylmalate C7H12O5	2	1	0.502283	0.56557	0.285843	1	0.502283	0.56557	0.285843	NC	NC	NC	NC	NC	NC	NC	NC	1	0.502283	0.459842	0.322815	1	0.502283	0.459842	0.322815	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-leucine C6H13NO2	2	1	0.298261	-0.115969	0.546161	NC	NC	NC	NC	NC	NC	NC	NC	1	0.298261	-0.115969	0.546161	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.298261	0.0163808	0.493465	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.298261	0.0163808	0.493465
